127.0.0.1 - - [28/Aug/2022:14:02:04 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:02:29 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:02:29 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:02:29 +0530] "GET /project_3/img/indexImg.jpg HTTP/1.1" 200 32034
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:02:48 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:02:48 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:02:48 +0530] "GET /project_3/img/indexImg.jpg HTTP/1.1" 200 32034
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:04:17 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:04:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:04:17 +0530] "GET /project_3/img/purple.jpg HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:32:29 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:32:29 +0530] "GET /project_3/img/white.png HTTP/1.1" 200 1172603
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:38:39 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7451
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:40:04 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:40:04 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9884
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:40:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:41:14 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7417
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:41:21 +0530] "GET /project_3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:41:21 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:42:01 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [28/Aug/2022:14:42:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
