127.0.0.1 - - [20/Sep/2022:15:07:48 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:07:50 +0530] "GET /project_3/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:07:59 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:07:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:07:59 +0530] "GET /project_3/img/purple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:04 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:18 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:18 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9885
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:24 +0530] "GET /project_3/doc/index.html HTTP/1.1" 200 2998
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:24 +0530] "GET /project_3/doc/overview-frame.html HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:24 +0530] "GET /project_3/doc/allclasses-frame.html HTTP/1.1" 200 15201
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:24 +0530] "GET /project_3/doc/overview-summary.html HTTP/1.1" 200 5003
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:24 +0530] "GET /project_3/doc/stylesheet.css HTTP/1.1" 200 13416
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:24 +0530] "GET /project_3/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:24 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:24 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:24 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:27 +0530] "GET /project_3/doc/in/co/rays/project_3/exception/ApplicationException.html HTTP/1.1" 200 10260
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:27 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:36 +0530] "GET /project_3/doc/in/co/rays/project_3/controller/BaseCtl.html HTTP/1.1" 200 33035
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:36 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:40 +0530] "GET /project_3/doc/in/co/rays/project_3/controller/CollegeListCtl.html HTTP/1.1" 200 22025
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:40 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:42 +0530] "GET /project_3/doc/in/co/rays/project_3/dto/CollegeDTO.html HTTP/1.1" 200 21669
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:42 +0530] "GET /project_3/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:42 +0530] "GET /project_3/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:42 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:43 +0530] "GET /project_3/doc/in/co/rays/project_3/util/DataValidator.html HTTP/1.1" 200 19510
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:43 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:45 +0530] "GET /project_3/doc/in/co/rays/project_3/controller/CourseListCtl.html HTTP/1.1" 200 22013
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:45 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:47 +0530] "GET /project_3/doc/in/co/rays/project_3/controller/CourseCtl.html HTTP/1.1" 200 22466
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:08:47 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
