127.0.0.1 - - [31/Jul/2022:15:18:22 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:18:24 +0530] "GET /project_3/ HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:18:25 +0530] "GET /project_3/img/indexImg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:18:25 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:18:28 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:18:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:18:33 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:19:49 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7159
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:28:03 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7159
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:28:05 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7159
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:28:21 +0530] "GET /project_3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:28:21 +0530] "GET /project_3/ HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:28:26 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:28:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:28:53 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:28:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:29:06 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [31/Jul/2022:15:29:19 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
